FROM,TO,Com_Biz,Com_Jtw,Com_Non,Cor_Biz,Cor_Jtw,Cor_Non,Exp_Biz,Exp_Jtw,Exp_Non
BaltimoreMetro,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,1581.35014298516,1019.83396274523,3204.62493035648,1110.18315494311,196.447514077815,924.390845726376
BaltimoreMetro,WashingtonDCMetro,0,0,0,165787.787039968,79663.4397679059,571633.593541385,56649.1042028266,4986.71775019998,46013.3216880486
BostonMetroManchesterNashuaNH,AlbanySchenectadyTroyNY,0,0,0,13385.3621938514,8653.74488994248,27654.0381162938,0,0,0
BostonMetroManchesterNashuaNH,AtlanticCityRestofNewJersey,0,0,0,1815.24631085279,927.840938086675,1122.91138195481,4834.12122523165,256.760059859765,711.766513929519
BostonMetroManchesterNashuaNH,BaltimoreMetro,0,0,0,9465.51537850298,3885.34511074669,30778.3543059606,13385.5725754561,657.824255290594,10018.3122378783
BostonMetroManchesterNashuaNH,BostonMetroManchesterNashuaNH,0,0,0,6493.59454428023,4088.14820057486,25589.6656790052,264.639274953201,40.3056271394721,417.105735117158
BostonMetroManchesterNashuaNH,BridgeportStamfordNorwalkCT,0,0,0,3202.45375251446,12597.3802977937,18067.4110417775,4958.15353855793,4998.82489031369,6252.09167263131
BostonMetroManchesterNashuaNH,HarrisburgPALancasterPA,0,0,0,3787.53099064325,5.13682911311154,13776.5005180379,570.060441532436,5.49147450190057e-06,28.0656183567729
BostonMetroManchesterNashuaNH,HartfordWestEastCT,0,0,0,83430.4854037205,39020.0108801981,158215.380955308,2029.55758231345,329.567245795822,3252.82551182913
BostonMetroManchesterNashuaNH,KingstonNYHudsonNY,0,0,0,8383.52734563545,4150.22373648008,21519.5795681014,1350.29909679675,9.00336892143615,694.316223068926
BostonMetroManchesterNashuaNH,LancasterPA,0,0,0,4189.750202733,506.457808689165,9119.98218440446,1046.25432084363,0.00055063637014499,27.1511591015151
BostonMetroManchesterNashuaNH,NewCastleDECecilMDSalemNJ,0,0,0,22280.2456055865,1852.84213253998,28744.2723457628,27608.1070103955,311.586949628325,7806.02131846951
BostonMetroManchesterNashuaNH,NewHavenMilfordCTLitchfieldCT,0,0,0,45633.3705336999,82372.8808529966,101070.535279235,2470.14287273873,296.946212054906,1798.26003836128
BostonMetroManchesterNashuaNH,NewYorkCityNYWestchesterNYLongIsland,0,0,0,166885.495920953,46414.7104506413,1013006.28615834,749891.781079509,31418.4450701278,592311.704988636
BostonMetroManchesterNashuaNH,NewarkNJNorthernNewJersey,0,0,0,105540.802735281,5543.48447879857,347972.277756202,262768.257185798,2907.44238358925,186593.411022709
BostonMetroManchesterNashuaNH,NorwichNewLondonCTWindhamCT,0,0,0,16536.7565254992,9868.81658609505,89678.5323538965,5655.16239539396,617.763249280885,4944.52342229661
BostonMetroManchesterNashuaNH,PhiladelphiaMetroReadingPA,0,0,0,35997.8016663008,21587.7909499365,170780.562329414,24243.0704364095,3336.82062582695,32920.8884058569
BostonMetroManchesterNashuaNH,PoughkeepsieNewburgMiddletownNY,0,0,0,4771.34290177816,754.06802557044,6739.95767747282,4055.30947367645,152.500267035007,2122.35086678594
BostonMetroManchesterNashuaNH,ProvidenceNewBedfordFallRiverRIMA,0,0,0,49380.0706582253,26363.3165594988,158729.792350779,6947.18206992697,798.629136922797,6636.84501148748
BostonMetroManchesterNashuaNH,RichmondMetroVA,0,0,0,2841.40511854578,998.548815675045,21904.4073467884,2937.31711144548,0.000608937348401618,26.5398507906262
